author_id,inbound,created_at
115721,True,"@VerizonSupport How? I have my phone number and email, that's it. How did I get equipment and service? I'm literally trying to pay and nobody can find me?"
VerizonSupport,False,"@115721 We can use the order number to locate the account but will need to do so in our secure one on one chat. Please follow and DM us. 
^HSB"
115721,True,@115722 MD. And this was sent to the wrong address https://t.co/dMQ1WZXJOk
115722,True,"@115721 Hello Duke, Do you have a copy of your bill? What state are your services located in?
^NHP"
115721,True,@115722 Nobody can find my account or number. I walked out of a store with this. I've explained that they can find my acct via my devices serial #..
115722,True,"@115721 Are you referring to wireless or residential service?
^JAY"
115721,True,"@115722 tried to pay a bill for 60 days. No service, rude CS, and several transfers. Look up my equipment # and give me an acct #!"
VerizonSupport,False,"@115723 Is the light on top red?
^JAY"
115723,True,"@VerizonSupport Don’t know, router is downstairs. But it’s just the WiFi Nothing connected to Ethernet"
VerizonSupport,False,"@115723 Did the lights change on the router when this happened?
^JAY"
115723,True,@VerizonSupport Just randomly boots me offline there it goes again
VerizonSupport,False,"@115723 Do you have our Fios service?  When services go out, does the internet light on the router change color? ^BCW"
115723,True,@VerizonSupport Yep
VerizonSupport,False,"@115723 Are all your services cutting out?
^ACM"
115723,True,@VerizonSupport Cuts out every 20 minutes this is ridiculous
VerizonSupport,False,@115723 What did we do to make you feel this way and how can we fix things between us? ^KMG
115723,True,@115722 is the worst ISP I’ve ever had
VerizonSupport,False,"@115724 In what area are you located? All of your services are down at this time?
^HSB"
115724,True,".@VerizonSupport @115725 @115726                                                 &gt;All of VERIZON IS DOWN&lt;
When can we expect a fix ?"
VerizonSupport,False,"@115727 Which app are you referring too? 
^ACM"
115727,True,@115725 fix your app it won't even open
ChipotleTweets,False,@115728 I still think you look great! -Becky
115728,True,@ChipotleTweets @ChipotleTweets Becky is very nice
115728,True,"@ChipotleTweets @28 
I don't fit in my Veggie Burrito costume #Halloween https://t.co/7tJDVpzLWn"
ChipotleTweets,False,@115729 I'm so sorry about that. Please tell us more so we can help: https://t.co/Ax7W1Dx3Y9 -Becky
115729,True,@ChipotleTweets messed up today and didn’t give me my $3 burrito although I was dressed up 😭
ChipotleTweets,False,@115730 Hopefully we'll get there at some point! -Becky
115730,True,hey @ChipotleTweets wanna come to Mammoth. I'll at least eat there once a week i promise
ChipotleTweets,False,@115731 Guac on! I'm happy it was such a great experience. -Becky
115731,True,"@ChipotleTweets I had excellent service tonight too! Plenty of people on the line, went very fast, everyone was kind!"
ChipotleTweets,False,@115731 It's because you're smart. -Tara
115731,True,When you're the only one in costume #boorito @ChipotleTweets
ChipotleTweets,False,@115732 That's incredibly concerning. Please tell us more here: https://t.co/Ax7W1Dx3Y9 -Becky
115732,True,@ChipotleTweets no Diet Coke and a literal bone this Boorito was extra spooky! https://t.co/C4oCCtdUct
ChipotleTweets,False,@115733 Nope! Still just the $3. -Becky
115733,True,"@ChipotleTweets If you get queso or quac on you're bowl, its extra?"
ChipotleTweets,False,Just stop by in costume 10/31 3pm-close. Official rules: https://t.co/1HmW7QxwEh https://t.co/Wn0xErxC2z
ChipotleTweets,False,"@115734 I mean, Boorito is basically the adult version of Halloween... -Becky"
115734,True,"Happy Halloween! Since I'm too old to trick or treat I now look forward to $3 booritos at @ChipotleTweets 👻 I got mine earlier, did you?"
ChipotleTweets,False,@115735 I'm so glad we could help. Who did you work with? I'd like to share the praise. -Becky
115735,True,@ChipotleTweets Thank you @ChipotleTweets for resolving my issue so quickly!! Y’all are the best ☺️ #fanforlife
115735,True,So frustrated with @ChipotleTweets 😡 Ordered dinner on Saturday using their app. Order was wrong AND they charged my credit card twice
ChipotleTweets,False,@115736 All of our U.S. locations are participating! -Becky
115736,True,"Btw @ChipotleTweets giving out $3 burritos if you dress up for Halloween 🎃 Call your Chipotle to make sure, they’re doing it @ select ones"
ChipotleTweets,False,@115737 My apologies for that. Just sent you a DM to help. -Becky
115737,True,"@ChipotleTweets Tried, didn't work. How rude :/"
ChipotleTweets,False,@115737 Give it a try. -Tara
115737,True,@ChipotleTweets can I dress up as myself and still qualify for a BOORITO?
ChipotleTweets,False,"@115738 That's the best kind of trick-or-treating. All treats, my friend. -Becky"
115738,True,"Every year, my trick-or-treating routine is walking to Chipotle, spending 3 dollars and walking back home. @ChipotleTweets"
ChipotleTweets,False,@115739 That's incredibly concerning. Please provide more details so we can investigate: https://t.co/Ax7W1Dx3Y9 -Becky
115739,True,@ChipotleTweets this is nasty. A used napkin in someone's food https://t.co/EkWiD9vhnr
ChipotleTweets,False,@115740 Bummer. I'm so sorry. How far away is the closest location? -Becky
115740,True,$3 burritos and I’m nowhere near a @ChipotleTweets 🤦🏾‍♂️
ChipotleTweets,False,@115741 Noted 😊 -Becky
115741,True,@ChipotleTweets Also I got the onesie at target. So cozy
115741,True,@ChipotleTweets Thanks Becky! Just feeling sorry for myself because my fiancé is driving from D.C. To Mississippi tonight
ChipotleTweets,False,"@115741 You won't be alone – we'll be there with you. Also, I want that llama onesie. -Becky"
115741,True,Considering walking to @ChipotleTweets in my llama onesie alone happy Halloween 😭
ChipotleTweets,False,@115742 I love it! Thanks so much for stopping by. -Becky
115742,True,@ChipotleTweets name a better halloween duo #speedwaybrick #UTtranscript https://t.co/5ShDRMlC1T
AskPlayStation,False,@115743 There is no info to share at the moment. Feel free to keep an eye on the PS Blog for news and updates: https://t.co/aLtfBAztyC
115744,True,@AskPlayStation @115743 Can I get help already??
115743,True,"@AskPlayStation So, what's the november ps plus free game?"
AskPlayStation,False,"@115745  Glad to know that is downloading, please feel free to contact us if you have further concerns."
115745,True,@AskPlayStation It was when I would go to download it. I just waited a few hours till after I bought it and it downloaded now.
AskPlayStation,False,@115745 Sorry for the inconvenience. Do you see the data corrupted message when you try to open the game or download it?
115745,True,@AskPlayStation I bought Lego Star Wars in the PlayStation store but it won't let me download it because the data is corrupted..
AskPlayStation,False,@115746  Glad to help.  Please share the details of this issue in our Community forum for further investigation: https://t.co/F3J4l2vJHb
115746,True,@AskPlayStation can i block a community from sending me invites to something i dont want to join
marksandspencer,False,"@115747 Glad you had fun, Sarah! We heard Count Collin can really suck the life out of the party  . . . :P"
115747,True,We had to have a Count Colin 💛 @marksandspencer xx... https://t.co/HVWkevFsKB
marksandspencer,False,"@115748 We've let our team know we can do better, Joel. Thanks for sharing :)"
115748,True,"‘Ere @marksandspencer, never mind avocado 🥑 - How’s about ‘ave a word?
Is it really necessary? 

The pair of ‘em were suffocating. https://t.co/ff2bmOVido"
marksandspencer,False,"@115749 We're only obligated to provide bags for un-packaged meat. As ours is prepackaged, a charge will be applied"
115749,True,@marksandspencer Raw meat!!!! It’s does not say unwrapped raw meat!!! Sainsbury’s don’t charge nor do Waitrose so y do you?!
marksandspencer,False,"@115749 As our packaging is sufficient, any extra wrappings or bags does require an extra 5p charge as per legislation. Thanks"
115749,True,@marksandspencer I check with the Gov office and legal. They stated you are not right. But it’s funny how the other stores don’t but you do. No wonder Lidl and the rest are beating you.
115749,True,"@marksandspencer ou must charge at least 5p a bag (including VAT) for carrier bags that are all of the following:

unused - it’s new and hasn’t already been used for sold goods to be taken away or delivered
plastic and 70 microns thick or less
it has handles, an opening and isn’t sealed"
115749,True,"@marksandspencer aren’t require charge 4 a bag:
paper bags
shops in airports, or on board trains, aeroplanes or ships
bags which only contain certain items, such as unwrapped food, raw meat and fish where there is a food safety risk, prescription medicines, uncovered blades, seeds, bulbs &amp; 🌷s"
115749,True,@marksandspencer y do they charge you for a meat bag at colliers woods branch. If you buy meat you r required to supply customers a free bag. Poor service.
marksandspencer,False,@115750 Love the aesthetic of your Colin the 'Creeperpillar' and someday.... 🐛🦋👻 https://t.co/LFubix5E4y
115750,True,Excellent Halloweening @marksandspencer 👌🏼 #countcolin #halloween #food https://t.co/lq1cSooHdj
MicrosoftHelps,False,"@115751 Hello, Josh! To get better assistance and support, we suggest that you post a tweet or DM our friends from @XboxSupport."
115751,True,"@MicrosoftHelps @XboxSupport Brilliant, thank you!"
115751,True,"@MicrosoftHelps hi, having trouble making purchases on Xbox one store for fifa points, can you help?"
MicrosoftHelps,False,@115752 Help is here. To assist you in recovering your account we recommend that you contact our Answer desk team: https://t.co/7zSM1QXPMD.
115752,True,@MicrosoftHelps I need assistance recovering 2 hotmail accounts. I have  filled the recovery forms but am told am not providing enough info
ATVIAssist,False,@115753 It appears this has been removed. Thanks for letting me know :) ^MB
115753,True,@ATVIAssist @115754 umm someone is streaming WWII with 500+ viewers https://t.co/AhBT7AZZSz
ATVIAssist,False,"@115755  No problem, let us know if you come across any other issues or questions in the future. We are happy to help. ^RK"
115756,True,@ATVIAssist @115755 I'm trying to buy the digital deluxe edition on the ps store but I keep receiving an error message
ATVIAssist,False,@115756  Hello there. Sorry for the late response. I am just checking if you still in need assistance. Please let me know. ^RN
115755,True,@ATVIAssist Thanks
ATVIAssist,False,@115755 Yes you can pre order the game on the console store. For more information please contact your console store. ^RK
115755,True,@ATVIAssist can you still pre oder ww2 on the playstation store
ATVIAssist,False,"@115757 Good afternoon William, unfortunately this app is no longer supported. Sincerest apologies. ^JP"
115757,True,@115758 @ATVIAssist Are yous going to update COD Zombies on IOS for IOS 11.
ATVIAssist,False,"@115759 Good afternoon Jayden, sadly we don't have information on that. Sincerest apologies. ^JP"
115759,True,@115758 Why was there a half gig update for world at war?
ATVIAssist,False,@115760 This is awesome! Thank you so much for the support! Love the costumes! ^TV
115760,True,@108162 @115761 @ATVIAssist tried that there was people so i came back
ATVIAssist,False,@115762 Hey there! You can check out this link for more information in regards to this - https://t.co/OZIlONCLtF ^KO
115762,True,"@ATVIAssist So, when I go get the game on friday my 2xp code will be on the receipt?"
ATVIAssist,False,@115762 Did gamestop give you a code with your pre order down payment that you needed to redeem? ^KO
115762,True,"@ATVIAssist Yes, the beta code"
ATVIAssist,False,"@115762 Have you redeemed that on your https://t.co/4YBn633EOk account? Even tho it says beta code, your pre order bonus are linked. ^KO"
115762,True,"@ATVIAssist Yes I have, so my code is on their?"
115762,True,@ATVIAssist I pre ordered my game at game stop
ATVIAssist,False,"@115762 Hello there, I apologize for the delay. Can you clarify where you pre-ordered the game? Please be sure you keep us updated. ^RN"
115762,True,@ATVIAssist For double xp^
115762,True,@ATVIAssist i pre ordered wwii but how do i get the code?
ATVIAssist,False,@115763 Can you please give me your gamertag / platform you're playing on so I can pull up your account information. ^CB
115763,True,@ATVIAssist Seth_tubbs and I am on PS4
115763,True,@ATVIAssist I got all of my stats reset on MWR and I don't know why. please help!!!
ATVIAssist,False,"@115764

Unfortunately we don't have any information on this. Please stay tuned for more updates. ^JW"
115764,True,"@115754 @115765 @ATVIAssist @115766 

Will non season pass holders get the bobus man Carentan at any point? Or not at all?"
AdobeCare,False,@115767 Sorry that this isn't more simple... let us know if the steps in the video work out or if you need further help ^Madison
115767,True,"@AdobeCare Didn't work. Tried it on another computer, fresh install, same thing..."
AdobeCare,False,@115767 Would you please DM the Adobe Product &amp; your purchase details that you have so that we can ask our experts to follow up. ^Raj https://t.co/iuwZCjz4Or
115767,True,@AdobeCare sure thing
115767,True,@AdobeCare the ctrl+alt+shift on load method didn't work. (2/2)
AdobeCare,False,"@115767 Hi Jason, could you please try resetting the preferences of Photoshop &amp; let us know if it helps with the issue https://t.co/j3Dj2HDknM   ^SC"
115767,True,@AdobeCare Pretty much explained my issue in the quoted tweet... dragging an image onto a canvas no longer center snaps it...
AdobeCare,False,"@115767 Hi Jason, please let us know if there is anything we can do to help. Thanks! ^AJ https://t.co/iuwZCjz4Or"
115767,True,Any help here @AdobeCare? https://t.co/x50e57UG4E
AdobeCare,False,"@115768 Hi Jeffrey, were you able to update to Lightroom Classic CC?   ^Tanuj"
115768,True,@AdobeCare nope still down.
AdobeCare,False,@115768 Have you tried signing out/back in or reinstalling the CC desktop app? https://t.co/Ne2f7tDTM0 Let us know! ^Madison
115768,True,@AdobeCare yes ive done that multiple times. its happened on previous versions as well.
AdobeCare,False,@115768 Thanks for confirming. We're looping in an expert who can help you out here. They will reply as soon as they're available. ^Madison
115768,True,@AdobeCare ok
115768,True,@AdobeCare so..when are they available?
AdobeCare,False,@115768 Sorry for this. Let me request the expert to look into this ASAP as he is in office. ^Raj
115768,True,@AdobeCare ok. its been very frustrating. i have multiple jobs that i need finished and your application isnt helping.
AdobeCare,False,"@115768 Hi Jeffrey, we wanted to check if you had managed to install Lightroom Classic CC. Please let us know if you need further assistance. ^NR https://t.co/iuwZCjz4Or"
115768,True,@AdobeCare no its still broken. i deleted it and will probably be getting rid of my membership and return when its working properly. thanks
AdobeCare,False,@115768 Jeffrey did you use the process listed in https://t.co/ccvXXUvXuT to delete Lightroom Classic CC? ^Jeff
115768,True,@AdobeCare ill just wait for the next big update. ive wasted my time and patience with adobe products
AdobeCare,False,@115768 Jeffrey I am sorry to hear that. If you face future errors please review the installation logs. https://t.co/okPwBIqSxR ^Jeff
115768,True,@AdobeCare yea ive done everything you guys told me to do. i know its not my mac either as i have the retina imac which is fairly new.
AdobeCare,False,"@115768 Hi there, I am looping our expert team to help answer your question. Thanks! ^MC"
115768,True,@AdobeCare you guys have been saying that for weeks now. your product went from being great to now unable to work and terrible. very disappointed.
115768,True,@115769 whats going on with your app. its totally stuck here for 1 hour and prior to updating froze and didnt work since updating. https://t.co/UpoCzPNqFb
AmazonHelp,False,@115770 こんにちは、アマゾン公式です。Fire TV Stickが見れないというのは、どのような状況でしょうか。一般的なトラブルシューティングを記載したヘルプがございますので、ご参照ください。https://t.co/2pbG55qJ7h ET
115770,True,"@AmazonHelp ありがとうございます。
今、電話で主人が対応していただいてます。"
115770,True,"@AmazonHelp 電話で対応してもらいましたが改良されませんでした。
保証期間も過ぎてるので買い直しになるんでしょうね。"
AmazonHelp,False,@115770 カスタマーサービスにてお問い合わせ済みとのことで、お手数をおかけいたしました。リプライいただきありがとうございました。ET
115770,True,@AmazonHelp こちらこそありがとうございました。
AmazonHelp,False,@115770 恐れ入ります。至らない点も多々あるかとは存じますが、今後ともどうぞよろしくお願いします。ET
115770,True,amazonのfireTVstickが見れない😢
XboxSupport,False,"@115771 Hi, you can change your Microsoft account email through the steps here: https://t.co/DkEhOHbOYy . If the email your son wants to change to is already associated with a Microsoft account, you'll need to follow those steps to switch the email address on that account too. ^ZM"
115771,True,"@XboxSupport can I change me sons Xbox live account to his Hotmail account, currently linked to my Hotmail account"
AdobeCare,False,"@115772 Hi there, Lightroom 7.0.1 update was launched recently, please update the app to the latest version.  ^TS"
115772,True,@115769 Did u release an update today for Lightroom Classic CC?
AdobeCare,False,"@115773 Hi there, please DM us you Adobe id so that we may have a quick look at your account details.   ^Tanuj https://t.co/iuwZCjz4Or"
115773,True,"Please tell me why my @115769 has expired, but I’m still being charged????"
AdobeCare,False,"@115774 Hi there, you may suggest it as a feature request at: https://t.co/SE1u3g161W .  ^Tanuj"
115774,True,@115769 are there any plans to add a fast crop mode for the iPad version of LR? It takes too many taps and slows down workflow.
AdobeCare,False,"@115775 Thanks for sharing the file, we'll get back to you with updates as we investigate. ^Wren"
115775,True,"@AdobeCare @115776 It’s intermittent for me. This file fails reliably: https://t.co/6m5a1RQEV9

The “Create subfolder” option just makes an empty “svg” folder"
AdobeCare,False,"@115776 Unfortunately, we are not able to reproduce it at our end. I'll still be checking with the development team to find out more on this. ^OM https://t.co/3giRhN4vNJ"
115776,True,"@AdobeCare Seems pretty widespread: https://t.co/ImomzTHO5j

Don't mean to be a jerk, but it's frustrating when an update breaks core functionality."
AdobeCare,False,"@115776 Hi Keelin,
Sorry for the inconvenience. I am able to export SVG in AI CC 2018. Would you mind sharing your workflow, sample file/screenshot? https://t.co/iuwZCjz4Or"
115776,True,So apparently the new version of @115777 @115778 has this cool feature where you can't export SVGs. Sick update guys.
AdobeCare,False,"@115779 Hi Duncan, please update Lightroom to 6.13 from the following link: https://t.co/9vaI2tzHd6 .  ^Tanuj"
115779,True,@115769 I'm worried as if I update my LR6 standalone programme I could lose it due to the new online version....is this true and if so is this fair!
115769,True,"Whoa! Come along with Lightroom’s own Ben Warde to get the lowdown: https://t.co/f1FGfdJaNk
https://t.co/6fsIV6WLRV"
AdobeCare,False,"@115780 Hi Lauren, can you try changing your forum screen name at https://t.co/gF69gbjWAQ? That should do the trick! ^Madison"
115780,True,@115777 your online forum is always broken even when I clear my cookies. https://t.co/dDwRPWnm3t
AdobeCare,False,"@115781 Hi Jake, any screenshots you can share? What are you export settings? Is this happening on all files with links? ^Wren"
115781,True,"@AdobeCare Here is an example of an export before and after. Export settings are unchanged from default. No, only some files. https://t.co/YbCX6dmddc"
AdobeCare,False,"@115781 Hi Jack, is there any way you could send me a file to try exporting on my end to try and replicate? ^Wren https://t.co/iuwZCjz4Or"
AdobeCare,False,"@115781 Hi Jack, we're looping the expert back into this conversation. Thanks! ^AJ"
115781,True,@AdobeCare Solved this via phone support
115781,True,"@AdobeCare InDesign 13.0 is exporting all PDFs with blurry links, but links are not missing in INDD file. JPG export is not blurry. Help!"
AirbnbHelp,False,@115782 Thank you for that. We have responded to your DM with more information.
115782,True,@AirbnbHelp I've just sent you a message with details. Thanks for your help
AirbnbHelp,False,"@115782 Hi there, we would like to help. Please DM us your account's email and reservation code so we can further assist. Thank you."
115782,True,"Quand ton @115783 ne ressemble pas à celui que tu as réservé, &amp; qu'en + d'être sale et en sous-sol, tu te retrouves à 10 dans 1 #logement ! https://t.co/BcEIHe38tq"
AirbnbHelp,False,@115784 We are sorry to hear this. Please DM your email address and reservation code so we can look into this for you. Thank you.
115784,True,@115783 Misrepresentation by host. Asked them to cancel my reservation and refund me over AUD1700 - strict policy. No response. Please help.
XboxSupport,False,@115785 Hi there! We'd recommend reaching out to the chat team here: https://t.co/UrUi80i54l ^JA
115785,True,@XboxSupport They have no info either..
XboxSupport,False,@115785 We'd recommend keeping an eye out on your email that is associated with your account for further info.  ^JA
115785,True,@XboxSupport Lol so there's no one @115786 who can say when they're going to be shipped...? That's kinda weird
115785,True,@XboxSupport @115786 When someone @115786 or @15913 @115787 @115788 knows when the xbox one x ships let us know.  Lol shouldn't b a mystery..
XboxSupport,False,"@115785 @115786 Did you pre-order this console via the Microsoft store? If so, then let's have you reach out here: https://t.co/jY7fDjTzLd ^JA"
115785,True,"@XboxSupport @115786 Kinda need to make sure I have 680$ cdn in my bank, so would be nice to know.. I dun just have cash laying around ya know #RealLifeStruggles"
115785,True,@XboxSupport @115786 Already did they had me call and no one can answer the question.  I'm not trying to be a jerk but it's nuts no one has a answer..
115785,True,@XboxSupport @115786 @115787 @15913 Would like to know so I can make sure I have enough money for it...
115785,True,@XboxSupport @115786 @115787 @15913 can anyone let me know when our pre orders are going to be shipped for xbox one x??
XboxSupport,False,@115789 Hello! Would you mind following us and sending a DM with your gamertag and the code you redeemed?  ^RR
115789,True,@115790 @XboxSupport redeemed a code for fifa points this afternoon and still haven't got it. Why is this?
XboxSupport,False,@115791 Can you show us what is appearing on your screen? ^RM
115791,True,@XboxSupport This is what's on my screen? Not sure if it's Xbox side or my5 side that's broken? Last time it was my5 as had to call head office about it! https://t.co/jnMIVOlNbS
115791,True,"@1520 @XboxSupport  the 5 app on Xboxes not working error code 200, done a power cycle and still the same? Please fix app"
AmazonHelp,False,@115792 ご不便をおかけしております。アプリをご利用でしょうか。強制停止&gt;端末の再起動にて改善する場合がございますので、お試しください。改善しない場合は、状況を確認しご案内させていただきますのでこちらからカスタマーサービスまでご連絡ください。https://t.co/NtNAX2Qh2u ET
115792,True,amazonプライムビデオ、再生エラーが多いです
nationalrailenq,False,"@115793 @115794 Hi. Emergency services are dealing with an incident, info here: https://t.co/XSpQ4dhtvk"
115793,True,"@115794 @115795 my colleagues @nationalrailenq for more info on how this is affecting services, thanks. 2/2 ^JP"
115794,True,@115795 @115796 Ah maybe @115793 could help on this one
115795,True,"@115794 @115796 Nothing, partner was on a train to Preston had to get a Taxi rest of way as was told no trains into Preston for a few hours"
115794,True,@115795 @115796 What have you seen?
115795,True,Something going on at Preston train station ? @115796
AirAsiaSupport,False,"@115797 Hi Loreen,kindly DM us your booking number and attach guest passport copy, we'll fix it for you, see you there!- Anwar"
115797,True,@AirAsiaSupport Hi! I have DM u my booking # and passport picture thanks so much for quick action
AirAsiaSupport,False,"@115797 Hi Loreen,correction done! :) See you on board! Cheers!- Anwar"
115797,True,@AirAsiaSupport thank you very much..
115797,True,@AirAsiaSupport Hi! i would like to know on my itenerary on how the birthday can be seen. i would like to double check if i can key in our birthdays right 🙂
AirAsiaSupport,False,"@115797 Hi Loreen, you may check the passenger's date of birth via AirAsia member account under manage booking. Thanks-Sha"
115797,True,@AirAsiaSupport but i cant see it. i only see itenerary.. no birthday
AirAsiaSupport,False,@115797 As you may check it under manage my booking online or during web check in. Date of birth will be shown accordingly.- Ed
115797,True,@AirAsiaSupport Hi Airasia. i want to rebook my return flight. but when i try rebooking my inbond also is rebooking. please help me. thanks
AirAsiaSupport,False,@115797 Hi Loreen :) Kindly DM us the booking number that you wish to do change flight for us to assist you further-Thanks-Anwar
115797,True,@AirAsiaSupport hi!  I have booked my ticket and when i see my itenary has been redundant i call ur customer service to assist but out of line.
AirAsiaSupport,False,@115797 Sorry as we checked booking has already expired due to no payment made. Kindly please proceed with new booking - Ed
115797,True,@AirAsiaSupport lost my booking # chua loreen lee flight z2 129.128 12/22-01/8 taipei-manila. __email__
115798,True,"Lost your booking number? No worries, just drop me the passenger's name, flight details and email. I'll trace it and email u in no time :)"
AirAsiaSupport,False,"@115799 Hi Emma, Could you please follow us so we can DM you again with the email reply sent to you  =) Yana"
115799,True,"@AirAsiaSupport Hi Yana, followed!"
AirAsiaSupport,False,"@115799 Hi Emma, We have replied to you via DM. please check again, Thank you- Mariya"
115799,True,@AirAsiaSupport Hi Yana I don’t have any DMs from you. Did you mean email?
AirAsiaSupport,False,@115799 We have replied to you via DM. Check it out =) Yana
115799,True,@AirAsiaSupport CAS-19708536-CB92N2 CRM:0326600 Please check on this I haven't heard from my case officer in weeks and provided all docs.
AirAsiaSupport,False,@115800  notified if there should be any changes-Yana
115800,True,@115801 @115802 @AirAsiaSupport You'll be even happier to know that the restrictions around the volcano area have been lifted. Enjoy staying at home pal! 😂😂😂😂 #unlucky
115801,True,@115802 @AirAsiaSupport Why are you not refunding my trip to Bali for Volcano eruption!!! Urgently refund!!
AirAsiaSupport,False,@115800 We are terribly sorry but we could not offer any options since all the flight are operating as per normal.Passengers will be
AirAsiaSupport,False,"@115797 Hi Looreen :) Kindly DM us the booking number and attach guest passport copy, we'll fix it for you, see you there! -Anwar"
115797,True,@AirAsiaSupport my surname has been redundant where do i go to correct it?
AirAsiaSupport,False,@115797 H
Morrisons,False,@115803 Please don't tell me Carol!! I can't wait to go home &amp; find out!! - Chloe
115803,True,@Morrisons My lips are sealed 😋
Morrisons,False,@115803 Somebody else has told me!! I'm gutted :( - Chloe
115803,True,"@Morrisons Aahhrrgh! Keep mum, I’m still watching 😄"
Morrisons,False,"@115803 Don't you worry Carol, my lips are shut!! - Chloe"
115803,True,"@Morrisons Aww, Sophie deserved winner 👏😄"
115803,True,Fresh cream palmier @Morrisons bakery Bellshill gets my vote for #star baker 👨‍🍳😘😋💗just catching up on #gbbo17 don’t know who won yet 😄
Morrisons,False,"@115804 Hi there, sorry about that. Please DM me when you visited the store and I'll look into this. Thanks - Kirsty"
115804,True,"@Morrisons That's pointless as it's every day, all the time. No matter when I go in. I speak 2the management who r as fed up as I am. They've no staff."
Morrisons,False,@115804 So sorry! Could you send me what store this is in so we can get this to the right people? - Janay
Morrisons,False,"@115804 I can see you've sent the store, leave it with us and we'll get this sorted :) - Janay"
115804,True,@Morrisons so fed up of this very familiar sight at Houghton Regis. Get more staff &amp; stock the place properly. This is just a small example https://t.co/CummsXx7jc
Morrisons,False,"@115805  store you bought it from, along with your address and More Card number and I'll get this sorted for you. Thanks - Kirsty"
115805,True,"@Morrisons 3 for £6, unless one is reduced (hidden label on the side!) then it’s 3 for £6.14. Don’t care about the 14p but feel ripped off! https://t.co/jG0fTncMDr"
Morrisons,False,"@115805 Hi Emma, sorry about that. If a product is reduced then the previous offer isn't applied. Please DM me the barcode and the"
NikeSupport,False,"@115806 You're welcome, William. Give us a shout if you need assistance with anything else. Good luck with the NRC app."
115806,True,@NikeSupport Thank you nike
NikeSupport,False,@115806 While the Coach plans can be weeks in time. It's up to you to decide what fits you best. (2/2)
115806,True,"@NikeSupport I'm new to nike+ run club app,  should i start with guided runs or my couch?"
NikeSupport,False,@115806 We got this. Both are beneficial to starting the NRC app. The Audio Guided runs are one time runs. (1/2)
AskAmex,False,@115807 What exactly is the issue you are having?
115807,True,@AskAmex I’ve asked your sales rep about the payments and she wasn’t ready to listen to any issues that I had.
